Game Name	Game Link	Start date	Game Type	Mod	Player	Affiliation	Role	"Killed? (n=nk, d=day kill, l= lynch, m= modkill)"	"Victory? (0=yes,1=no)"	Game ended day	Include in DB?	Post Restriction	Special Rules	Sub for	Sub day	Night Actions
Brace on my wrist TURBO	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13181161&page=8&fpart=all	2007-11-30	Turbo	Our House	Alex Jacob	Wolves		l3	1	4	1					
Brace on my wrist TURBO	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13181161&page=8&fpart=all	2007-11-30	Turbo	Our House	jgunnip	Village	Vanilla	s	0	4	1					
Brace on my wrist TURBO	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13181161&page=8&fpart=all	2007-11-30	Turbo	Our House	tarheeljks	Village	Vanilla	l2	0	4	1					
Brace on my wrist TURBO	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13181161&page=8&fpart=all	2007-11-30	Turbo	Our House	metsandfinsfan	Village	Vanilla	n2	0	4	1					
Brace on my wrist TURBO	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13181161&page=8&fpart=all	2007-11-30	Turbo	Our House	MikeyObviously	Village	Vanilla	n1	0	4	1					
Brace on my wrist TURBO	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13181161&page=8&fpart=all	2007-11-30	Turbo	Our House	antidan444	Village	Seer	l1	0	4	1					metsandfinsfan
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	Our House	Village	Seer	n1	0	4	1					The Seer
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	Alex Jacob	Village	Vanilla	n3	0	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	GetThere1Time	Village	Vanilla	n2	0	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	traz	Wolves		l4	1	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	metsandfinsfan	Village	Vanilla	s	0	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	drzen	Village	Vanilla	l1	0	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	soah	Village	Vanilla	l3	0	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	The Seer	Wolves		l2	1	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	VoraciousReader	Village	Vanilla	s	0	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	OurHouse	Village	Seer	n1	0	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	Alex Jacob	Village	Vanilla	n3	0	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	GetThere1Time	Village	Vanilla	n2	0	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	traz	Wolves		l4	1	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	metsandfinsfan	Village	Vanilla	s	0	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	Drzen	Village	Vanilla	l1	0	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	soah	Village	Vanilla	l3	0	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	The Seer	Wolves		l2	1	4	1					
Last UBB Turbo Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13208987&page=1&fpart=all	2007-12-02	Turbo	Swiitch	VoraciousReader	Village	Vanilla	s	0	4	1					
TURBO game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9343438&page=0&fpart=all	2007-02-26	Turbo	JaredL	soah	Village	Vanilla	l1	0	6	1					
TURBO game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9343438&page=0&fpart=all	2007-02-26	Turbo	JaredL	VoraciousReader	Village	Seer	n1	0	6	1					
TURBO game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9343438&page=0&fpart=all	2007-02-26	Turbo	JaredL	shortline99	Wolves		l2	1	6	1			ScottHoward	1	
TURBO game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9343438&page=0&fpart=all	2007-02-26	Turbo	JaredL	ChrisV	Village	Vanilla	n2	0	6	1					
TURBO game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9343438&page=0&fpart=all	2007-02-26	Turbo	JaredL	Voj	Village	Vanilla	l3	0	6	1					
TURBO game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9343438&page=0&fpart=all	2007-02-26	Turbo	JaredL	kyro	Village	Vanilla	n3	0	6	1					
TURBO game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9343438&page=0&fpart=all	2007-02-26	Turbo	JaredL	Don West	Village	Vanilla	l4	0	6	1					
TURBO game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9343438&page=0&fpart=all	2007-02-26	Turbo	JaredL	lastchance	Village	Vanilla	n4	0	6	1					
TURBO game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9343438&page=0&fpart=all	2007-02-26	Turbo	JaredL	Neil S	Wolves		l5	1	6	1					
TURBO game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9343438&page=0&fpart=all	2007-02-26	Turbo	JaredL	valenzuela	Village	Vanilla	n5	0	6	1					
TURBO game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9343438&page=0&fpart=all	2007-02-26	Turbo	JaredL	metsandfinsfan	Wolves		l6	1	6	1					
TURBO game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9343438&page=0&fpart=all	2007-02-26	Turbo	JaredL	durron597	Village	Vanilla	s	0	6	1					
TURBO game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9343438&page=0&fpart=all	2007-02-26	Turbo	JaredL	fmxda	Village	Vanilla	s	0	6	1					
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9832814&page=0&fpart=all	2007-04-04	Turbo	FCBLComish	Patton4	Village	Vanilla	l1	1	4	1					
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9832814&page=0&fpart=all	2007-04-04	Turbo	FCBLComish	LuckayLuck	Village	Vanilla	n1	1	4	1					
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9832814&page=0&fpart=all	2007-04-04	Turbo	FCBLComish	Neil S	Village	Vanilla	l2	1	4	1					
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9832814&page=0&fpart=all	2007-04-04	Turbo	FCBLComish	matrix	Village	Vanilla	n2	1	4	1					
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9832814&page=0&fpart=all	2007-04-04	Turbo	FCBLComish	soah	Wolves		l3	0	4	1					
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9832814&page=0&fpart=all	2007-04-04	Turbo	FCBLComish	HerbieGRD	Village	Seer	n3	1	4	1					"soah,matrix,ASPoker8"
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9832814&page=0&fpart=all	2007-04-04	Turbo	FCBLComish	chuckleslovakian	Village	Vanilla	l4	1	4	1					
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9832814&page=0&fpart=all	2007-04-04	Turbo	FCBLComish	metsandfinsfan	Wolves		s	0	4	1					
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=9832814&page=0&fpart=all	2007-04-04	Turbo	FCBLComish	ASPoker8	Village	Vanilla	s	1	4	1					
Wed Evening Super Turbo Pwnage! Game Thread!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10016457&page=160&fpart=all&vc=1	2007-04-18	Turbo	NicholasP27	wdcbooks	Village	Vanilla	l1	0	3	1					
Wed Evening Super Turbo Pwnage! Game Thread!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10016457&page=160&fpart=all&vc=1	2007-04-18	Turbo	NicholasP27	DustinG	Village	Vanilla	n1	0	3	1					
Wed Evening Super Turbo Pwnage! Game Thread!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10016457&page=160&fpart=all&vc=1	2007-04-18	Turbo	NicholasP27	soah	Wolves		l2	1	3	1					
Wed Evening Super Turbo Pwnage! Game Thread!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10016457&page=160&fpart=all&vc=1	2007-04-18	Turbo	NicholasP27	GetThere1Time	Village	Vanilla	n2	0	3	1					
Wed Evening Super Turbo Pwnage! Game Thread!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10016457&page=160&fpart=all&vc=1	2007-04-18	Turbo	NicholasP27	matrix	Wolves		l3	1	3	1					
Wed Evening Super Turbo Pwnage! Game Thread!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10016457&page=160&fpart=all&vc=1	2007-04-18	Turbo	NicholasP27	ASPoker8	Village	Seer	s	0	3	1					"GetThere1Time,ScottHoward3.0,matrix"
Wed Evening Super Turbo Pwnage! Game Thread!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10016457&page=160&fpart=all&vc=1	2007-04-18	Turbo	NicholasP27	LuckayLuck	Village	Vanilla	s	0	3	1					
Wed Evening Super Turbo Pwnage! Game Thread!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10016457&page=160&fpart=all&vc=1	2007-04-18	Turbo	NicholasP27	VoraciousReader	Village	Vanilla	s	0	3	1					
Wed Evening Super Turbo Pwnage! Game Thread!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10016457&page=160&fpart=all&vc=1	2007-04-18	Turbo	NicholasP27	ScottHoward3.0	Village	Vanilla	s	0	3	1					
Late night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10019897&page=0&fpart=all&vc=1	2007-04-19	Turbo	chim17	Skoob	Wolves		l1	1	3	1					
Late night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10019897&page=0&fpart=all&vc=1	2007-04-19	Turbo	chim17	matrix	Village	Vanilla	n1	0	3	1					
Late night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10019897&page=0&fpart=all&vc=1	2007-04-19	Turbo	chim17	ASPoker8	Village	Vanilla	l2	0	3	1					
Late night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10019897&page=0&fpart=all&vc=1	2007-04-19	Turbo	chim17	DustinG	Village	Vanilla	n2	0	3	1					
Late night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10019897&page=0&fpart=all&vc=1	2007-04-19	Turbo	chim17	BradleyT	Wolves		l3	1	3	1					
Late night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10019897&page=0&fpart=all&vc=1	2007-04-19	Turbo	chim17	LuckayLuck	Village	Seer	s	0	3	1					"Neil S,chuckleslovakian,valenzuela"
Late night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10019897&page=0&fpart=all&vc=1	2007-04-19	Turbo	chim17	chuckleslovakian	Village	Vanilla	s	0	3	1					
Late night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10019897&page=0&fpart=all&vc=1	2007-04-19	Turbo	chim17	Neil S	Village	Vanilla	s	0	3	1					
Late night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10019897&page=0&fpart=all&vc=1	2007-04-19	Turbo	chim17	valenzuela	Village	Vanilla	s	0	3	1					
ZOMG 13 Man Turbo!!!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10027571&page=0&fpart=all&vc=1	2007-04-19	Turbo	JCool	xoom	Village	Vanilla	l1	1	6	1					
ZOMG 13 Man Turbo!!!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10027571&page=0&fpart=all&vc=1	2007-04-19	Turbo	JCool	ASPoker8	Village	Vanilla	n1	1	6	1					
ZOMG 13 Man Turbo!!!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10027571&page=0&fpart=all&vc=1	2007-04-19	Turbo	JCool	dmk	Wolves		l2	0	6	1					
ZOMG 13 Man Turbo!!!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10027571&page=0&fpart=all&vc=1	2007-04-19	Turbo	JCool	durron597	Village	Vanilla	n2	1	6	1					
ZOMG 13 Man Turbo!!!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10027571&page=0&fpart=all&vc=1	2007-04-19	Turbo	JCool	NicholasP27	Village	Vanilla	l3	1	6	1					
ZOMG 13 Man Turbo!!!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10027571&page=0&fpart=all&vc=1	2007-04-19	Turbo	JCool	Swiitch	Village	Seer	n3	1	6	1					"metsandfinsfan,ASPoker8,Neil S"
ZOMG 13 Man Turbo!!!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10027571&page=0&fpart=all&vc=1	2007-04-19	Turbo	JCool	LuckayLuck	Village	Vanilla	l5	1	6	1			antidan444	4	
ZOMG 13 Man Turbo!!!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10027571&page=0&fpart=all&vc=1	2007-04-19	Turbo	JCool	DustinG	Wolves		l4	0	6	1					
ZOMG 13 Man Turbo!!!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10027571&page=0&fpart=all&vc=1	2007-04-19	Turbo	JCool	Neil S	Village	Vanilla	n4	1	6	1					
ZOMG 13 Man Turbo!!!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10027571&page=0&fpart=all&vc=1	2007-04-19	Turbo	JCool	metsandfinsfan	Village	Vanilla	n5	1	6	1					
ZOMG 13 Man Turbo!!!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10027571&page=0&fpart=all&vc=1	2007-04-19	Turbo	JCool	RedJoker	Village	Vanilla	l6	1	6	1					
ZOMG 13 Man Turbo!!!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10027571&page=0&fpart=all&vc=1	2007-04-19	Turbo	JCool	ESKiMO-SiCKNE5S	Village	Vanilla	s	1	6	1					
ZOMG 13 Man Turbo!!!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10027571&page=0&fpart=all&vc=1	2007-04-19	Turbo	JCool	ScottHoward3.0	Wolves		s	0	6	1					
My Little Pony Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10035168&page=0&fpart=all&vc=1	2007-04-19	Turbo	chuckleslovakian	Nez477	Village	Vanilla	l1	1	6	1					
My Little Pony Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10035168&page=0&fpart=all&vc=1	2007-04-19	Turbo	chuckleslovakian	Boiler_bd	Village	Vanilla	n1	1	6	1					
My Little Pony Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10035168&page=0&fpart=all&vc=1	2007-04-19	Turbo	chuckleslovakian	soah	Wolves		l2	0	6	1					
My Little Pony Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10035168&page=0&fpart=all&vc=1	2007-04-19	Turbo	chuckleslovakian	fmxda	Village	Seer	n2	1	6	1					"soah,traz"
My Little Pony Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10035168&page=0&fpart=all&vc=1	2007-04-19	Turbo	chuckleslovakian	traz	Wolves		l3	0	6	1					
My Little Pony Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10035168&page=0&fpart=all&vc=1	2007-04-19	Turbo	chuckleslovakian	ASPoker8	Village	Vanilla	n3	1	6	1					
My Little Pony Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10035168&page=0&fpart=all&vc=1	2007-04-19	Turbo	chuckleslovakian	JCool	Village	Vanilla	l4	1	6	1					
My Little Pony Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10035168&page=0&fpart=all&vc=1	2007-04-19	Turbo	chuckleslovakian	lastchance	Village	Vanilla	n4	1	6	1					
My Little Pony Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10035168&page=0&fpart=all&vc=1	2007-04-19	Turbo	chuckleslovakian	BradleyT	Village	Vanilla	l5	1	6	1					
My Little Pony Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10035168&page=0&fpart=all&vc=1	2007-04-19	Turbo	chuckleslovakian	matrix	Village	Vanilla	n5	1	6	1					
My Little Pony Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10035168&page=0&fpart=all&vc=1	2007-04-19	Turbo	chuckleslovakian	ChrisV	Village	Vanilla	l6	1	6	1					
My Little Pony Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10035168&page=0&fpart=all&vc=1	2007-04-19	Turbo	chuckleslovakian	jjhender	Wolves		s	0	6	1					
My Little Pony Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10035168&page=0&fpart=all&vc=1	2007-04-19	Turbo	chuckleslovakian	durron597	Village	Vanilla	s	1	6	1					
"Friday Afternoon ""Who Needs to Work?"" Turbo"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10043748&page=0&fpart=all&vc=1	2007-04-20	Turbo	Zurvan	durron597	Wolves		l1	0	4	1					
"Friday Afternoon ""Who Needs to Work?"" Turbo"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10043748&page=0&fpart=all&vc=1	2007-04-20	Turbo	Zurvan	dmk	Village	Seer	n1	1	4	1					durron597
"Friday Afternoon ""Who Needs to Work?"" Turbo"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10043748&page=0&fpart=all&vc=1	2007-04-20	Turbo	Zurvan	ScottHoward3.0	Village	Vanilla	l2	1	4	1					
"Friday Afternoon ""Who Needs to Work?"" Turbo"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10043748&page=0&fpart=all&vc=1	2007-04-20	Turbo	Zurvan	krupa-	Village	Vanilla	n2	1	4	1					
"Friday Afternoon ""Who Needs to Work?"" Turbo"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10043748&page=0&fpart=all&vc=1	2007-04-20	Turbo	Zurvan	Swiitch	Village	Vanilla	l3	1	4	1					
"Friday Afternoon ""Who Needs to Work?"" Turbo"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10043748&page=0&fpart=all&vc=1	2007-04-20	Turbo	Zurvan	ASPoker8	Village	Vanilla	n3	1	4	1					
"Friday Afternoon ""Who Needs to Work?"" Turbo"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10043748&page=0&fpart=all&vc=1	2007-04-20	Turbo	Zurvan	RedJoker	Village	Vanilla	l4	1	4	1					
"Friday Afternoon ""Who Needs to Work?"" Turbo"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10043748&page=0&fpart=all&vc=1	2007-04-20	Turbo	Zurvan	metsandfinsfan	Wolves		s	0	4	1					
"Friday Afternoon ""Who Needs to Work?"" Turbo"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10043748&page=0&fpart=all&vc=1	2007-04-20	Turbo	Zurvan	fmxda	Village	Vanilla	s	1	4	1			Boiler_bd	2	
